peak_times,int_area,nMolAs_in_vial,sampleID,pMolAs_enviro,rt_min.x,lipid_ID,rt_min.y,rt_diff
852.02791,876.7718582529369,0.787841513006489,ALOHA,0.0031640221405883095,14.200465166666667,AsHC332,14.2,4.6516666666818196e-4
1551.47259,941.5093991699428,0.8460127712469191,ALOHA,0.003397641651594053,25.8578765,AsSugPL1010,25.7,0.15787650000000042
1311.24913,3414.7967560948746,3.068436352749949,ALOHA,0.012323037561244777,21.854152166666665,AsSugPL902,22,0.14584783333333462
1311.24913,3414.7967560948746,3.068436352749949,ALOHA,0.012323037561244777,21.854152166666665,AsSugPL930,22.3,0.44584783333333533
1394.13135,3999.9775574436107,3.5942626821163928,ALOHA,0.014434789888017644,23.235522500000002,AsSugPL954,23.2,0.035522500000002566
1450.73369,1169.6714685554734,1.0510325244054781,ALOHA,0.004221014154238868,24.178894833333334,AsSugPL956,24.1,0.07889483333333303
1450.73369,1169.6714685554734,1.0510325244054781,ALOHA,0.004221014154238868,24.178894833333334,AsSugPL982,24.5,0.32110516666666555
847.6476,475.64496612063806,0.4274006359066994,BATS,0.006110709709218428,14.127460000000001,AsHC332,14,0.12746000000000102
1540.35409,466.0126622451073,0.418745329754244,BATS,0.005986961499930285,25.672568166666668,AsSugPL1010,25.7,0.027431833333331213
1391.09881,853.5573678585616,0.7669816518421233,BATS,0.010965828856949031,23.184980166666666,AsSugPL954,23.1,0.0849801666666643
1540.35409,466.0126622451073,0.418745329754244,BATS,0.005986961499930285,25.672568166666668,AsSugPL984,25.5,0.17256816666666808
851.35397,1272.9536975479218,1.1438389104569553,ETNP-PS1,0.007884922119718024,14.189232833333334,AsHC332,14,0.18923283333333352
1539.68074,272.1633266954641,0.24455799427218392,ETNP-PS1,0.0016858324375591195,25.661345666666666,AsSugPL1010,25.7,0.03865433333333357
1376.61169,1631.310637669932,1.4658479613230158,ETNP-PS1,0.010104654517970579,22.943528166666667,AsSugPL928,22.6,0.3435281666666654
1376.61169,1631.310637669932,1.4658479613230158,ETNP-PS1,0.010104654517970579,22.943528166666667,AsSugPL954,23.1,0.1564718333333346
1539.68074,272.1633266954641,0.24455799427218392,ETNP-PS1,0.0016858324375591195,25.661345666666666,AsSugPL984,25.4,0.26134566666666714
834.1714,157.82040053528624,0.14181278969054267,ETNP-PS2,0.0010840482849647202,13.902856666666667,AsHC332,14,0.09714333333333336
1371.89522,952.8126897880791,0.8561695771465624,ETNP-PS2,0.006544749340098459,22.864920333333334,AsSugPL954,23,0.13507966666666604
1453.76665,516.0006507405251,0.46366307217227165,ETNP-PS2,0.00354434292764882,24.229444166666667,AsSugPL956,24.1,0.1294441666666657
851.01793,929.8494686348271,0.8355354991631179,ETNP-PS3,0.014563305548459474,14.183632166666666,AsHC332,13.9,0.28363216666666524
1536.31224,554.5608446873559,0.4983121331052138,ETNP-PS3,0.008685533840494636,25.605204,AsSugPL1010,25.7,0.09479599999999877
1372.90626,4465.7561408009,4.012797675437725,ETNP-PS3,0.06994268790503971,22.881771,AsSugPL954,23,0.11822899999999947
1536.31224,554.5608446873559,0.4983121331052138,ETNP-PS3,0.008685533840494636,25.605204,AsSugPL984,25.3,0.3052039999999998
