sampleID,samplerun,descript_ID,As_75_intensity,Se_77_intensity,Signal,nM_in_vial,Sample size (L),Reconst_volume_mL,enviro_nM
Smp_191209_27,2020_09_01_KRH_AsTotal_2.csv,ETNP_PS2Abulk,31547.3423588,1493.33459283,26880.055694080496,43.73132515725773,2.227265598,1,0.019634535367729293
Smp_191209_28,2020_09_01_KRH_AsTotal_2.csv,ETNP_PS2Bbulk,32474.05503322,1783.33510709,26900.397124262145,43.76853883227279,2.227265598,1,0.01965124360182965
Smp_191209_29,2020_09_01_KRH_AsTotal_2.csv,ETNP_PS2Cbulk,29627.26342305,1726.668354592,24230.71249302154,38.88447830297347,2.227265598,1,0.01745839307978818
Smp_191209_30,2020_09_01_KRH_AsTotal_2.csv,ETNP_PS3Abulk,26657.15930556,1716.668315038,21291.862624566646,33.507992827463596,0.955249468,1,0.03507774037039673
Smp_191209_31,2020_09_01_KRH_AsTotal_3.csv,ETNP_PS3Bbulk,23160.34288565,1736.668374594,17732.537767694495,26.99637799439439,0.955249468,1,0.02826107618873271
Smp_191209_32,2020_09_01_KRH_AsTotal_3.csv,ETNP_PS3Cbulk,26260.47571165,1610.001404874,21228.55712942004,33.39217844754952,0.955249468,1,0.03495650043905549
Smp_191209_33,2020_09_01_KRH_AsTotal_3.csv,BATS_0.7Abulk,36924.30604785,1893.335395516,31006.851857903952,51.281101644088565,1.230057627,1,0.04168999932885954
Smp_191209_34,2020_09_01_KRH_AsTotal_3.csv,BATS_0.7Bbulk,43758.11115023,1726.668282614,38361.56044516248,64.73618974520099,1.230057627,1,0.05262858286004594
Smp_191209_35,2020_09_01_KRH_AsTotal_3.csv,BATS_0.7Cbulk,30047.30018971,1746.668281736,24588.241236561513,39.538560063785084,1.230057627,1,0.032143664813668996
Smp_191209_36,2020_09_01_KRH_AsTotal_3.csv,BATS_0.3Abulk,15686.81085089,1300.000969724,11623.771516472087,15.820681891126002,1.230057627,1,0.012861740412692065
Smp_191209_37,2020_09_01_KRH_AsTotal_3.csv,BATS_0.3Bbulk,14576.785088300001,1430.001142622,10107.441583141474,13.046628697684344,1.230057627,1,0.010606518273053513
Smp_191209_38,2020_09_01_KRH_AsTotal_3.csv,BATS_0.3Cbulk,8503.367746150001,1350.001025304,4284.057610958952,2.393025844124065,1.230057627,1,0.0019454583196727455
Smp_191209_39,2020_09_01_KRH_AsTotal_3.csv,ETNP_PS1_0.7Abulk,31000.65497377,2233.336250584,24020.5578473573,38.50001041567076,2.415345804,1,0.01593975088449519
Smp_191209_40,2020_09_01_KRH_AsTotal_3.csv,ETNP_PS1_0.7Bbulk,29087.24237357,1836.668641312,23346.8951678853,37.26757671755929,2.415345804,1,0.015429499434756418
Smp_191209_41,2020_09_01_KRH_AsTotal_3.csv,ETNP_PS1_0.7Cbulk,28690.56092475,2120.002473674,22064.67860603951,34.92182275604558,2.415345804,1,0.014458311807034972
Smp_191209_42,2020_09_01_KRH_AsTotal_3.csv,ETNP_PS1_0.3Abulk,22377.00068237,1386.667727926,18043.091974957715,27.564522084581284,2.415345804,1,0.011412246660056831
Smp_191209_43,2020_09_01_KRH_AsTotal_3.csv,ETNP_PS1_0.3Bbulk,18013.53744526,1413.334454148,13596.284217279288,19.42929967047666,2.415345804,1,0.008044106826567124
Smp_191209_44,2020_09_01_KRH_AsTotal_3.csv,ETNP_PS1_0.3Cbulk,21533.62880143,1473.334529704,16928.85058483037,25.52607067726893,2.415345804,1,0.01056828824882788
Smp_191209_45,2020_09_01_KRH_AsTotal_3.csv,ALOHAAbulk,62406.554971569996,1960.002153734,56280.73965940466,97.51847230156838,3.697260893,1,0.02637586990039017
Smp_191209_46,2020_09_01_KRH_AsTotal_3.csv,ALOHABbulk,88779.27673289,2350.003090188,81434.54760283047,143.53616259368795,3.697260893,1,0.03882229757316938
Smp_191209_47,2020_09_01_KRH_AsTotal_4.csv,ALOHACbulk,97053.80002509,2243.336197724,90042.44893847406,159.28390697575867,3.697260893,1,0.04308159786000762
Smp_191209_48,2020_09_01_KRH_AsTotal_4.csv,ALOHA blankAbulk,24210.3929308,1563.334687484,19324.32709235991,29.908480540359,3.697260893,1,0.00808936166689901
Smp_191209_49,2020_09_01_KRH_AsTotal_4.csv,ALOHA blankBbulk,29697.24891102,1550.001323942,24852.855334211177,40.022658917523586,3.697260893,1,0.01082494854320349
Smp_191209_50,2020_09_01_KRH_AsTotal_4.csv,ALOHA blankCbulk,29350.58939779,1370.00101726,25068.771036914688,40.41766638353282,3.697260893,1,0.010931786409786587
